evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,3165.8888888888887,204721.33333333334
0.062,3290.0,209758.4
0.073,3232.181818181818,223563.18181818182
0.085,4001.0,276220.75
0.097,3572.3333333333335,240564.44444444444
0.108,4001.0,273413.6666666667
0.12,3353.25,217130.5
0.132,4001.0,287874.4285714286
0.135,67.0,70.0
0.143,3069.6,193958.0
0.155,3750.0,236148.6
0.166,72.0,82.0
0.167,2887.75,165976.0
0.178,2916.5,182318.33333333334
0.186,96.0,133.0
0.187,88.0,94.0
0.19,3239.6666666666665,193465.33333333334
0.202,3363.0,198055.5
0.213,2442.6,132969.4
0.225,1859.7142857142858,90443.14285714286
0.226,96.0,97.0
0.237,2921.5,147408.75
0.248,1792.6666666666667,68309.66666666667
0.26,2442.5,112163.0
0.269,290.0,702.0
0.27,96.0,99.0
0.272,1867.75,74982.75
0.283,1806.4,71749.6
0.29,65.0,81.0
0.295,1802.0,97202.25
0.302,95.0,142.0
0.307,937.0,18217.0
0.327,128.0,274.0
0.332,88.0,105.0
0.342,813.0,33800.0
0.35,102.0,108.0
0.353,1598.0,27980.5
0.365,1011.5,24791.5
0.374,106.0,107.0
0.377,59.0,391.0
0.389,87.0,243.0
0.392,88.0,99.0
0.4,71.0,93.0
